Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.43  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Pulse,Off
TempUnit,C
Sampling interval,20ms
Total data points,45205     
Trigger,0         
Start time,2025-08-17,12:37:19
End time,2025-08-17,12:52:23
Trigger time,2025-08-17,12:37:19
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH5," CH 5","M",DC,2V,,Off,+50.00,-50.00,[A],28,16,2,0
CH6," CH 6","M",DC,100V,,Off,+50.00,-50.00,[V],5,23,30,0
CH,Input,Slope,Filter,Span,,Unit,Color,,,Line Width
Pulse1,COUNT,L,,500000,0,[C],28,5,6,0
Pulse2,OFF,H,,500000,0,[],0,13,23,0
Pulse3,OFF,H,,500000,0,[],9,22,8,0
Pulse4,OFF,H,,500000,0,[],21,0,21,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH5,CH6,Pulse1,Alarm1-10,AlarmLogic/Pulse,AlarmOut
NO.,Time,ms,"A","V","C","A1234567890","ALP1-4","AO1234"
         1,2025/08/17 12:37:19,  0,+  0.51,+ 50.70,        0,LLLLLLLLLL,LLLL,LLLL
         2,2025/08/17 12:37:19, 20,+  0.51,+ 50.70,        0,LLLLLLLLLL,LLLL,LLLL
         3,2025/08/17 12:37:19, 40,+  0.52,+ 50.70,        0,LLLLLLLLLL,LLLL,LLLL
         4,2025/08/17 12:37:19, 60,+  0.53,+ 50.70,        0,LLLLLLLLLL,LLLL,LLLL
         5,2025/08/17 12:37:19, 80,+  0.52,+ 50.70,        0,LLLLLLLLLL,LLLL,LLLL
         6,2025/08/17 12:37:19,100,+  0.50,+ 50.70,        0,LLLLLLLLLL,LLLL,LLLL
         7,2025/08/17 12:37:19,120,+  0.51,+ 50.70,        0,LLLLLLLLLL,LLLL,LLLL
         8,2025/08/17 12:37:19,140,+  0.52,+ 50.70,        0,LLLLLLLLLL,LLLL,LLLL
         9,2025/08/17 12:37:19,160,+  0.52,+ 50.70,        0,LLLLLLLLLL,LLLL,LLLL
        10,2025/08/17 12:37:19,180,+  0.50,+ 50.70,        0,LLLLLLLLLL,LLLL,LLLL
        11,2025/08/17 12:37:19,200,+  0.50,+ 50.70,        0,LLLLLLLLLL,LLLL,LLLL
        12,2025/08/17 12:37:19,220,+  0.51,+ 50.70,        0,LLLLLLLLLL,LLLL,LLLL
        13,2025/08/17 12:37:19,240,+  0.50,+ 50.70,        0,LLLLLLLLLL,LLLL,LLLL
        14,2025/08/17 12:37:19,260,+  0.51,+ 50.70,        0,LLLLLLLLLL,LLLL,LLLL
