Tick;Throttle;Speed;Current;Voltage
12622;0;0;445;52620
12928;0;0;446;52621
12978;0;0;446;52621
13028;0;0;446;52621
13248;0;0;448;52621
13298;0;0;448;52621
13348;0;0;448;52619
13484;0;0;448;52619
13576;0;0;448;52619
13626;0;0;448;52619
13762;0;0;448;52618
13812;0;0;448;52618
13904;0;0;448;52618
14040;0;0;450;52618
14090;0;0;450;52618
14140;0;0;450;52618
14318;0;0;450;52618
14368;0;0;451;52618
14418;0;0;451;52618
14554;0;0;451;52617
14646;0;0;451;52617
14696;0;0;451;52617
14832;0;0;446;52617
14882;0;0;446;52617
14975;0;0;446;52618
15111;0;0;446;52618
15161;0;0;446;52618
15211;0;0;446;52618
15389;100;0;446;52618
15439;100;0;446;52618
15489;100;0;446;52618
15624;100;0;446;52618
15718;100;0;446;52618
15768;100;0;446;52617
15903;100;0;446;52617
15953;100;0;448;52617
16045;201;0;448;52617
16181;201;0;448;52617
16231;201;0;448;52617
16281;201;0;448;52617
16459;201;0;443;52617
16509;201;0;443;52617
16559;201;0;443;52618
16695;201;0;443;52618
16787;201;0;438;52618
16837;304;0;438;52618
16973;304;0;438;52618
17023;304;0;438;52618
17115;304;0;438;52618
17251;304;0;437;52618
17301;304;0;437;52618
17351;304;0;437;52617
17530;304;0;437;52617
17580;304;0;437;52617
17630;392;0;437;52617
17766;392;0;437;52617
17859;392;0;437;52617
17909;392;0;437;52617
18045;392;0;440;52617
18095;392;0;440;52617
18188;392;0;440;52616
18323;392;0;440;52616
18373;392;0;439;52616
18423;314;0;439;52616
18601;314;0;439;52616
18651;314;0;439;52616
18701;314;0;439;52616
18836;314;0;439;52616
18928;314;0;439;52616
18978;314;0;439;52616
19114;314;0;439;52616
19164;314;0;437;52616
19256;0;0;437;52616
19392;0;0;437;52613
19442;0;0;437;52613
19492;0;0;437;52613
19670;0;0;450;52613
19720;0;0;450;52613
19770;0;0;450;52615
19906;0;0;450;52615
19998;0;0;447;52615
20048;0;0;447;52615
20184;0;0;447;52614
20234;0;0;447;52614
20326;0;0;447;52614
20462;0;0;444;52614
20512;0;0;444;52614
20562;0;0;444;52614
20742;0;0;444;52614
20792;0;0;444;52614
20842;0;0;444;52614
20978;0;0;444;52613
21071;0;0;444;52613
21121;0;0;444;52613
21256;0;0;443;52613
21306;0;0;443;52613
21398;0;0;443;52613
21533;0;0;443;52613
21583;0;0;441;52613
21633;0;0;441;52613
21811;0;0;441;52613
21861;0;0;441;52613
21911;0;0;441;52613
22047;0;0;443;52613
22139;0;0;443;52613
22189;0;0;443;52612
22325;0;0;443;52612
22375;0;0;442;52612
22467;0;0;442;52612
22603;0;0;442;52612
22653;0;0;442;52612
22703;0;0;442;52612
22881;0;0;442;52612
22931;0;0;442;52612
22981;0;0;442;52612
23117;0;0;442;52612
23209;0;0;440;52612
23259;0;0;440;52612
23395;0;0;440;52612
23445;0;0;440;52612
23538;0;0;440;52612
23674;0;0;440;52612
23724;0;0;440;52612
23774;0;0;440;52611
23952;141;0;440;52611
24002;141;0;442;52611
24052;141;0;442;52611
24187;141;0;442;52572
24321;141;0;442;52572
24371;141;0;442;52572
24677;141;0;522;52592
24727;190;0;522;52592
24819;190;0;533;52592
24996;190;0;533;52583
25046;190;0;533;52583
25096;190;0;533;52583
25274;190;0;584;52583
25324;190;0;584;52583
25374;190;0;584;52583
25511;190;0;584;52583
25603;276;0;557;52583
25653;276;0;557;52583
25789;276;0;557;52290
25839;276;0;557;52290
25932;276;0;557;52290
26068;276;0;645;52290
26118;276;0;645;52290
26168;276;0;645;52290
26346;314;0;645;52566
26396;314;0;679;52566
26446;314;0;679;52566
26582;314;0;679;52566
26675;314;0;679;52511
26725;314;0;679;52511
26861;314;0;727;52511
26911;314;0;727;52511
27004;314;0;727;52559
27139;314;0;727;52559
27189;314;0;684;52559
27239;314;0;684;52559
27417;314;0;684;52563
27467;314;0;684;52563
27517;314;0;684;52563
27652;314;0;666;52563
27744;314;0;666;52563
27794;314;0;666;52560
27930;314;0;666;52560
27980;314;0;666;52560
28072;314;0;735;52560
28208;314;0;735;52553
28258;314;0;735;52553
28308;314;0;735;52553
28486;314;0;725;52553
28536;314;0;725;52553
28586;314;0;725;52553
28722;314;0;725;52557
28814;375;0;691;52557
28864;375;0;691;52557
29000;375;0;691;52420
29050;375;0;691;52420
29142;375;0;691;52420
29278;375;0;741;52420
29328;375;0;741;52420
29378;375;0;741;52420
29557;490;0;741;52546
29607;490;0;798;52546
29657;490;0;798;52546
29793;490;0;798;52546
29886;490;0;798;52430
29936;490;0;798;52430
30071;490;0;895;52430
30121;490;0;895;52430
30213;490;0;895;52509
30350;490;0;895;52509
30400;490;0;895;52509
30450;490;0;912;52509
30628;490;0;912;51857
30678;490;0;912;51857
30728;490;0;912;51857
30864;490;0;988;51857
30956;490;0;988;51857
31006;490;0;988;51857
31142;679;0;988;52499
31192;679;0;988;52499
31284;679;0;8418;52499
31420;679;0;8418;52467
31470;679;0;8418;52467
31520;679;0;8418;52467
31698;679;0;1102;52467
31748;679;0;1102;52467
31798;679;0;1102;52467
31934;679;0;1102;52470
32026;679;0;1118;52470
32076;679;0;1118;52470
32212;679;0;1118;52470
32262;679;0;1118;52502
32355;679;0;1118;52502
32491;679;0;960;52502
32541;679;0;960;52502
32591;679;0;960;52502
32769;679;0;960;52507
32819;679;0;852;52507
32869;679;0;852;52507
33004;679;0;852;52507
33096;679;0;852;52526
33146;679;0;852;52526
33281;679;0;772;52526
33331;679;0;772;52526
33423;679;0;772;52523
33559;679;0;772;52523
33609;679;0;772;52523
33659;679;0;407;52523
33837;679;0;407;52550
33887;679;0;407;52550
33937;679;0;407;52550
34073;679;0;643;52550
34165;679;0;643;52550
34215;679;0;643;52550
34351;679;0;643;52549
34401;679;0;643;52549
34493;679;0;678;52549
34629;679;0;678;52558
34679;679;0;678;52558
34729;679;0;678;52558
34908;679;0;578;52558
34958;679;0;578;52558
35008;679;0;578;52558
35145;679;0;578;52562
35238;679;0;566;52562
35288;679;0;566;52562
35424;679;0;566;52562
35474;679;0;566;52584
35567;679;0;566;52584
35702;679;0;436;52584
35752;679;0;436;52584
35802;679;0;436;52584
36192;679;0;438;52585
36369;679;0;438;52585
36419;679;0;438;52585
36469;679;0;438;52585
36647;679;0;438;52585
36697;679;0;438;52585
36747;679;0;438;52585
