Tick,Throttle,Speed,Current,Voltage
23505,69, 0, 9015, 52835
23810,193, 0, 9016, 52786
23860,193, 0, 9016, 52786
23910,193, 0, 9016, 52786
24129,283, 0, 9020, 52786
24179,283, 0, 9020, 52595
24229,283, 0, 9020, 52595
24364,298, 0, 9020, 52595
24456,298, 0, 9023, 52595
24506,298, 0, 9023, 52595
24641,298, 0, 9023, 52769
24691,298, 0, 9023, 52769
24783,297, 0, 9036, 52769
24918,297, 0, 9036, 52769
24968,297, 0, 9036, 52769
25018,297, 0, 9036, 52779
25196,298, 0, 9036, 52779
25246,298, 0, 9036, 52779
25296,298, 0, 9036, 52779
25431,297, 0, 9036, 52775
25523,297, 0, 9036, 52775
25573,297, 0, 9036, 52775
25708,297, 0, 9034, 52775
25758,298, 0, 9034, 52775
25850,298, 0, 9034, 52777
25985,297, 0, 9041, 52777
26035,297, 0, 9041, 52777
26085,297, 0, 9041, 52777
26263,297, 0, 9041, 52776
26313,297, 0, 9041, 52776
26363,297, 0, 9041, 52776
26498,297, 0, 9043, 52776
26590,297, 0, 9043, 52771
26640,297, 0, 9043, 52771
26775,297, 0, 9043, 52771
26825,297, 0, 9046, 52771
26917,297, 0, 9046, 52771
27052,297, 0, 9046, 52768
27102,297, 0, 9046, 52768
27152,297, 0, 9046, 52768
27331,298, 0, 9043, 52768
27381,298, 0, 9043, 52768
27431,298, 0, 9043, 52769
27566,297, 0, 9043, 52769
27658,297, 0, 9049, 52769
27708,297, 0, 9049, 52769
27843,297, 0, 9049, 52768
27893,297, 0, 9049, 52768
27985,297, 0, 9049, 52768
28120,297, 0, 9051, 52768
28170,297, 0, 9051, 52768
28220,297, 0, 9051, 52762
28398,297, 0, 9051, 52762
28448,297, 0, 9051, 52762
28498,297, 0, 9051, 52762
28633,298, 0, 9051, 52765
28725,298, 0, 9051, 52765
28775,298, 0, 9051, 52765
28910,298, 0, 9055, 52765
28960,298, 0, 9055, 52765
29052,298, 0, 9055, 52758
29187,298, 0, 9055, 52758
29237,298, 0, 9049, 52758
29287,298, 0, 9049, 52758
29464,298, 0, 9049, 52762
29514,298, 0, 9049, 52762
29564,312, 0, 9049, 52762
29699,312, 0, 9055, 52762
29791,330, 0, 9055, 52762
29841,330, 0, 9055, 52701
29976,329, 0, 9055, 52701
30026,329, 0, 9059, 52701
30118,329, 0, 9059, 52701
30253,357, 0, 9059, 52760
30303,357, 0, 9059, 52760
30353,368, 0, 9059, 52760
30531,367, 0, 9061, 52760
30581,367, 0, 9061, 52760
30631,367, 0, 9061, 52736
30766,367, 0, 9061, 52736
30858,367, 0, 9062, 52736
30908,367, 0, 9062, 52736
31043,367, 0, 9062, 52747
31093,367, 0, 9062, 52747
31185,368, 0, 9062, 52747
31320,368, 0, 9064, 52747
31370,367, 0, 9064, 52747
31420,367, 0, 9064, 52748
31598,367, 0, 9064, 52748
31648,367, 0, 9061, 52748
31698,367, 0, 9061, 52748
31833,367, 0, 9061, 52744
31925,368, 0, 9061, 52744
31975,368, 0, 9061, 52744
32111,368, 0, 9066, 52744
32161,367, 0, 9066, 52744
32253,367, 0, 9066, 52738
32388,367, 0, 9066, 52738
32438,367, 0, 9069, 52738
32488,367, 0, 9069, 52738
32666,366, 0, 9069, 52751
32716,366, 0, 9069, 52751
32766,367, 0, 9069, 52751
32901,367, 0, 9065, 52751
32993,367, 0, 9065, 52751
33043,367, 0, 9065, 52742
33178,367, 0, 9065, 52742
33228,367, 0, 9072, 52742
33320,367, 0, 9072, 52742
33455,368, 0, 9072, 52739
33505,368, 0, 9072, 52739
33555,367, 0, 9072, 52739
33733,371, 0, 9066, 52739
33783,371, 0, 9066, 52739
33833,371, 0, 9066, 52737
33968,381, 0, 9066, 52737
34060,381, 0, 9074, 52737
34110,381, 0, 9074, 52737
34245,380, 0, 9074, 52714
34295,380, 0, 9074, 52714
34387,380, 0, 9074, 52714
34522,380, 0, 9076, 52714
34572,381, 0, 9076, 52714
34622,381, 0, 9076, 52714
34800,380, 0, 9076, 52742
34850,380, 0, 9071, 52742
34900,380, 0, 9071, 52742
35035,383, 0, 9071, 52731
35169,397, 0, 9071, 52731
35219,397, 0, 9071, 52731
35524,396, 0, 9072, 52686
35574,396, 0, 9072, 52686
35666,396, 0, 9075, 52686
35843,394, 0, 9075, 52728
35893,394, 0, 9075, 52728
35943,376, 0, 9075, 52728
36121,376, 0, 9082, 52728
36171,347, 0, 9082, 52728
36221,347, 0, 9082, 52728
36356,304, 0, 9082, 52848
36448,304, 0, 9086, 52848
36498,304, 0, 9086, 52848
36633,234, 0, 9086, 52848
36683,234, 0, 9086, 52757
36775,207, 0, 9086, 52757
36912,207, 0, 9086, 52757
36962,168, 0, 9086, 52757
37012,168, 0, 9086, 52757
37190,134, 0, 9086, 52775
37240,134, 0, 9085, 52775
37290,134, 0, 9085, 52775
37425,121, 0, 9085, 52775
37517,121, 0, 9085, 52799
37567,120, 0, 9085, 52799
37702,120, 0, 9087, 52799
37752,120, 0, 9087, 52799
37844,120, 0, 9087, 52792
37979,128, 0, 9087, 52792
38029,128, 0, 9087, 52792
38079,128, 0, 9081, 52792
38257,129, 0, 9081, 52794
38307,129, 0, 9081, 52794
38357,183, 0, 9081, 52794
38492,183, 0, 9082, 52794
38584,286, 0, 9082, 52794
38634,286, 0, 9082, 52794
38769,330, 0, 9082, 52727
38819,330, 0, 9082, 52727
38911,330, 0, 9087, 52727
39046,340, 0, 9087, 52727
39096,340, 0, 9087, 52747
39146,340, 0, 9087, 52747
39324,385, 0, 9083, 52747
39374,385, 0, 9083, 52747
39424,385, 0, 9083, 52747
39559,386, 0, 9083, 52738
39651,386, 0, 9089, 52738
39701,386, 0, 9089, 52738
39836,387, 0, 9089, 52738
39886,387, 0, 9089, 52730
39978,387, 0, 9089, 52730
40113,387, 0, 9089, 52730
40163,386, 0, 9089, 52730
40213,386, 0, 9089, 52730
40391,385, 0, 9089, 52733
40441,385, 0, 9089, 52733
40491,385, 0, 9091, 52733
40626,386, 0, 9091, 52733
40718,386, 0, 9091, 52735
40768,386, 0, 9091, 52735
40903,386, 0, 9089, 52735
40953,386, 0, 9089, 52735
41045,386, 0, 9089, 52735
