Tick,Throttle,Speed,Current,Voltage,Speed
24,0, 0, 0, 0, 5682
82,0, 0, 0, 0, 5682
132,0, 0, 0, 0, 5682
182,0, 0, 0, 0, 5682
232,0, 0, 0, 0, 5682
282,0, 0, 0, 0, 5682
335,0, 0, 0, 0, 5682
385,0, 0, 0, 0, 5682
435,0, 0, 0, 0, 5682
485,0, 0, 0, 0, 5682
535,0, 0, 0, 0, 5682
587,0, 0, 0, 0, 5682
637,0, 0, 0, 0, 5682
687,0, 0, 0, 0, 5682
737,0, 0, 0, 0, 5682
787,0, 0, 0, 0, 5682
839,0, 0, 0, 0, 5682
889,0, 0, 0, 0, 5682
939,0, 0, 0, 0, 5682
989,0, 0, 0, 0, 5682
1039,0, 0, 0, 0, 5682
1091,0, 0, 0, 0, 5682
1141,0, 0, 0, 0, 5682
1192,0, 0, 0, 0, 5682
1242,0, 0, 0, 0, 5682
1292,0, 0, 0, 0, 5682
1344,0, 0, 0, 0, 5682
1394,0, 0, 0, 0, 5682
1444,0, 0, 0, 0, 5682
1494,0, 0, 0, 0, 5682
1544,0, 0, 0, 0, 5682
1596,0, 0, 0, 0, 5682
1646,0, 0, 0, 0, 5682
1696,0, 0, 0, 0, 5682
1746,0, 0, 0, 0, 5682
1796,0, 0, 0, 0, 5682
1848,0, 0, 0, 0, 5682
1898,0, 0, 0, 0, 5682
1948,0, 0, 0, 0, 5682
1998,0, 0, 0, 0, 5682
2048,0, 0, 0, 0, 5682
2100,0, 0, 0, 0, 5682
2150,0, 0, 0, 0, 5682
2200,0, 0, 0, 0, 5682
2250,0, 0, 0, 0, 5682
2300,0, 0, 0, 0, 5682
2354,0, 0, 0, 0, 5682
2404,0, 0, 0, 0, 5682
2454,0, 0, 0, 0, 5682
2504,0, 0, 0, 0, 5682
2554,0, 0, 0, 0, 5682
2606,0, 0, 0, 0, 5682
2656,0, 0, 0, 0, 5682
2706,0, 0, 0, 0, 5682
2756,0, 0, 0, 0, 5682
2806,0, 0, 0, 0, 5682
2858,0, 0, 0, 0, 5682
2908,0, 0, 0, 0, 5682
2958,0, 0, 0, 0, 5682
3008,0, 0, 0, 0, 5682
3058,0, 0, 0, 0, 5682
3110,0, 0, 0, 0, 5682
3160,0, 0, 0, 0, 5682
3210,0, 0, 0, 0, 5682
3260,0, 0, 0, 0, 5682
3310,0, 0, 0, 0, 5682
3362,0, 0, 0, 0, 5682
3412,0, 0, 0, 0, 5682
3462,0, 0, 0, 0, 5682
3513,0, 0, 0, 0, 5682
3563,0, 0, 0, 0, 5682
3615,0, 0, 0, 0, 5682
3665,0, 0, 0, 0, 5682
3715,0, 0, 0, 0, 5682
3765,0, 0, 0, 0, 5682
3815,0, 0, 0, 0, 5682
3867,0, 0, 0, 0, 5682
3917,0, 0, 0, 0, 5682
3967,0, 0, 0, 0, 5682
4017,0, 0, 0, 0, 5682
4067,0, 0, 0, 0, 5682
4119,0, 0, 0, 0, 5682
4169,0, 0, 0, 0, 5682
4219,0, 0, 0, 0, 5682
4269,0, 0, 0, 0, 5682
4319,0, 0, 0, 0, 5682
4371,0, 0, 0, 0, 5682
4421,0, 0, 0, 0, 5682
4471,0, 0, 0, 0, 5682
4521,0, 0, 0, 0, 5682
4571,0, 0, 0, 0, 5682
4623,0, 0, 0, 0, 5682
4673,0, 0, 0, 0, 5682
4724,0, 0, 0, 0, 5682
4774,0, 0, 0, 0, 5682
4824,0, 0, 0, 0, 5682
4876,0, 0, 0, 0, 5682
4926,0, 0, 0, 0, 5682
4976,0, 0, 0, 0, 5682
5026,0, 0, 0, 0, 5682
5076,0, 0, 0, 0, 5682
5130,0, 0, 0, 0, 5682
5180,0, 0, 0, 0, 5682
5230,0, 0, 0, 0, 5682
5280,0, 0, 0, 0, 5682
5330,0, 0, 0, 0, 5682
5382,0, 0, 0, 0, 5682
5432,0, 0, 0, 0, 5682
5482,0, 0, 0, 0, 5682
5532,0, 0, 0, 0, 5682
5582,0, 0, 0, 0, 5682
5634,0, 0, 0, 0, 5682
5684,0, 0, 0, 0, 5682
5734,0, 0, 0, 0, 5682
5784,0, 0, 0, 0, 5682
5834,0, 0, 0, 0, 5682
5888,0, 0, 0, 0, 5682
5938,0, 0, 0, 0, 5682
5988,0, 0, 0, 0, 5682
6038,0, 0, 0, 0, 5682
6088,0, 0, 0, 0, 5682
6140,0, 0, 0, 0, 5682
6190,0, 0, 0, 0, 5682
6240,0, 0, 0, 0, 5682
6290,0, 0, 0, 0, 5682
6340,0, 0, 0, 0, 5682
6392,0, 0, 0, 0, 5682
6442,0, 0, 0, 0, 5682
6492,0, 0, 0, 0, 5682
6542,0, 0, 0, 0, 5682
6592,0, 0, 0, 0, 5682
6644,0, 0, 0, 0, 5682
6694,0, 0, 0, 0, 5682
6744,0, 0, 0, 0, 5682
6794,0, 0, 0, 0, 5682
6844,0, 0, 0, 0, 5682
6896,0, 0, 0, 0, 5682
6946,0, 0, 0, 0, 5682
6996,0, 0, 0, 0, 5682
7047,0, 0, 0, 0, 5682
7097,0, 0, 0, 0, 5682
7149,0, 0, 0, 0, 5682
7199,0, 0, 0, 0, 5682
7249,0, 0, 0, 0, 5682
7299,0, 0, 0, 0, 5682
7349,0, 0, 0, 0, 5682
7401,0, 0, 0, 0, 5682
7451,0, 0, 0, 0, 5682
7501,0, 0, 0, 0, 5682
7551,0, 0, 0, 0, 5682
7601,0, 0, 0, 0, 5682
7653,0, 0, 0, 0, 5682
7703,0, 0, 0, 0, 5682
7753,0, 0, 0, 0, 5682
7803,0, 0, 0, 0, 5682
7853,0, 0, 0, 0, 5682
7905,0, 0, 0, 0, 5682
7955,0, 0, 0, 0, 5682
8005,0, 0, 0, 0, 5682
8055,0, 0, 0, 0, 5682
8105,0, 0, 0, 0, 5682
8157,0, 0, 0, 0, 5682
8207,0, 0, 0, 0, 5682
8258,0, 0, 0, 0, 5682
8308,0, 0, 0, 0, 5682
8358,0, 0, 0, 0, 5682
8410,0, 0, 0, 0, 5682
8460,0, 0, 0, 0, 5682
