Tick,Throttle,Speed,Current,Voltage
17171,0, 0, 346, 53031
17477,0, 0, 346, 53031
17527,0, 0, 346, 53031
17577,0, 0, 346, 53031
17627,0, 0, 346, 53031
17677,0, 0, 346, 53031
17727,0, 0, 346, 53031
17777,0, 0, 346, 53030
17827,0, 0, 346, 53030
17877,0, 0, 346, 53030
17927,0, 0, 346, 53030
17977,0, 0, 348, 53030
18027,0, 0, 348, 53030
18077,0, 0, 348, 53030
18127,0, 0, 348, 53030
18177,0, 0, 348, 53028
18227,0, 0, 348, 53028
18277,0, 0, 348, 53028
18327,0, 0, 348, 53028
18377,0, 0, 347, 53028
18427,0, 0, 347, 53028
18647,0, 0, 347, 53029
18697,0, 0, 347, 53029
18747,0, 0, 347, 53029
18797,0, 0, 348, 53029
18847,0, 0, 348, 53029
18897,0, 0, 348, 53029
18947,0, 0, 348, 53029
18997,0, 0, 348, 53028
19047,0, 0, 348, 53028
19097,0, 0, 348, 53028
19147,0, 0, 348, 53028
19197,0, 0, 347, 53028
19247,0, 0, 347, 53028
19297,0, 0, 347, 53028
19347,0, 0, 347, 53028
19397,0, 0, 347, 53028
19447,0, 0, 347, 53028
19497,0, 0, 347, 53028
19547,0, 0, 347, 53028
19597,0, 0, 347, 53028
19733,0, 0, 347, 53028
19783,0, 0, 347, 53027
19875,0, 0, 347, 53027
19925,0, 0, 347, 53027
19975,0, 0, 347, 53027
20025,0, 0, 348, 53027
20075,0, 0, 348, 53027
20125,0, 0, 348, 53027
20175,0, 0, 348, 53027
20225,0, 0, 348, 53028
20275,0, 0, 348, 53028
20325,0, 0, 348, 53028
20375,0, 0, 348, 53028
20425,0, 0, 347, 53028
20475,0, 0, 347, 53028
20525,0, 0, 347, 53028
20575,0, 0, 347, 53028
20625,0, 0, 347, 53029
20675,0, 0, 347, 53029
20725,0, 0, 347, 53029
20860,0, 0, 346, 53029
20910,0, 0, 346, 53029
20960,0, 0, 346, 53029
21010,0, 0, 346, 53026
21060,0, 0, 346, 53026
21152,0, 0, 346, 53026
21202,0, 0, 346, 53026
21252,0, 0, 346, 53026
21302,0, 0, 346, 53026
21352,0, 0, 346, 53026
21402,0, 0, 346, 53027
21452,0, 0, 346, 53027
21502,0, 0, 346, 53027
21552,0, 0, 346, 53027
21602,0, 0, 347, 53027
21652,0, 0, 347, 53027
21702,0, 0, 347, 53027
21752,0, 0, 347, 53027
21802,0, 0, 347, 53026
21852,0, 0, 347, 53026
21987,0, 0, 347, 53026
22037,0, 0, 347, 53026
22087,0, 0, 347, 53026
22137,0, 0, 347, 53026
22187,0, 0, 347, 53026
22237,0, 0, 347, 53026
22287,0, 0, 347, 53026
22379,0, 0, 347, 53026
22429,0, 0, 348, 53026
22479,0, 0, 348, 53026
22529,0, 0, 348, 53026
22579,0, 0, 348, 53026
22629,0, 0, 348, 53025
22679,0, 0, 348, 53025
22729,0, 0, 348, 53025
22779,0, 0, 348, 53025
22829,0, 0, 346, 53025
22879,0, 0, 346, 53025
22929,0, 0, 346, 53025
22979,0, 0, 346, 53025
23115,0, 0, 346, 53026
23165,0, 0, 346, 53026
23215,0, 0, 346, 53026
23265,0, 0, 346, 53026
23315,0, 0, 346, 53026
23365,0, 0, 346, 53026
23415,0, 0, 346, 53026
23465,0, 0, 346, 53026
23515,0, 0, 346, 53026
23607,0, 0, 346, 53026
23657,0, 0, 345, 53026
23707,0, 0, 345, 53026
23757,0, 0, 345, 53026
23807,0, 0, 345, 53026
23857,0, 0, 345, 53025
23907,0, 0, 345, 53025
23957,0, 0, 345, 53025
24007,0, 0, 345, 53025
24057,0, 0, 356, 53025
24107,0, 0, 356, 53025
24243,0, 0, 356, 52701
24293,0, 0, 356, 52701
24343,0, 0, 356, 52701
24393,0, 0, 356, 52701
24443,0, 0, 2259, 52701
24493,0, 0, 2259, 52701
24543,0, 0, 2259, 52701
24593,0, 0, 2259, 52701
24643,0, 0, 2259, 52649
24693,0, 0, 2259, 52649
24743,0, 0, 2259, 52649
24836,0, 0, 2439, 52649
24886,0, 0, 2439, 52649
24936,0, 0, 2439, 52649
24986,0, 0, 2439, 52649
25036,0, 0, 2439, 52604
25086,0, 0, 2439, 52604
25136,0, 0, 2439, 52604
25186,0, 0, 2439, 52604
25236,0, 0, 2609, 52604
25372,0, 0, 2609, 52604
25422,0, 0, 2609, 52576
25472,0, 0, 2609, 52576
25522,0, 0, 2609, 52576
25572,0, 0, 2609, 52576
25622,0, 0, 2729, 52576
25672,0, 0, 2729, 52576
25722,0, 0, 2729, 52576
25772,0, 0, 2729, 52576
25822,0, 0, 2729, 52992
25872,0, 0, 2729, 52992
25922,0, 0, 2729, 52992
25972,0, 0, 2729, 52992
26064,0, 1389, 384, 52992
26114,0, 1389, 384, 52992
26164,0, 1389, 384, 52992
26214,0, 1389, 384, 52992
26264,0, 1389, 384, 53000
26314,0, 1389, 384, 53000
26364,0, 1389, 384, 53000
26499,0, 1389, 349, 53000
26549,0, 1389, 349, 53000
26599,0, 1389, 349, 53000
26649,0, 1389, 349, 52572
26699,0, 1389, 349, 52572
26749,0, 1389, 349, 52572
26799,0, 1389, 349, 52572
26849,0, 1389, 2821, 52572
26899,0, 1389, 2821, 52572
26949,0, 1389, 2821, 52572
26999,0, 1389, 2821, 52572
27049,0, 1389, 2821, 52514
27141,0, 1389, 2821, 52514
27191,0, 1389, 2821, 52514
27241,0, 0, 3004, 52514
27291,0, 0, 3004, 52514
27341,0, 0, 3004, 52514
27391,0, 0, 3004, 52514
27441,0, 0, 3004, 52482
27491,0, 0, 3004, 52482
27626,0, 2192, 3004, 52482
27676,0, 2192, 3159, 52482
27726,0, 2192, 3159, 52482
27776,0, 2192, 3159, 52482
27826,0, 2192, 3159, 52482
27876,0, 2192, 3159, 52445
27926,0, 2192, 3159, 52445
27976,0, 2192, 3159, 52445
28026,0, 2192, 3159, 52445
28076,0, 2192, 3316, 52445
28126,0, 2192, 3316, 52445
28176,0, 2192, 3316, 52445
28268,0, 2192, 3316, 52420
28318,0, 2192, 3316, 52420
28368,0, 2192, 3316, 52420
28418,0, 2192, 3316, 52420
28468,0, 2192, 3468, 52420
28518,0, 2192, 3468, 52420
28568,0, 2192, 3468, 52420
28618,0, 2192, 3468, 52420
28753,0, 3242, 3468, 52386
28803,0, 3242, 3468, 52386
28853,0, 3242, 3609, 52386
28903,0, 3242, 3609, 52386
28953,0, 3242, 3609, 52386
29003,0, 3242, 3609, 52386
29053,0, 3242, 3609, 52347
29103,0, 3242, 3609, 52347
29153,0, 3242, 3609, 52347
29203,0, 3242, 3609, 52347
29253,0, 3242, 3777, 52347
29345,0, 3242, 3777, 52347
29395,0, 3242, 3777, 52347
29445,0, 3952, 3777, 52347
29495,0, 3952, 3777, 52316
29545,0, 3952, 3777, 52316
29595,0, 3952, 3777, 52316
29645,0, 3952, 3777, 52316
29695,0, 3952, 3945, 52316
29745,0, 3952, 3945, 52316
29881,0, 3952, 3945, 52279
29931,0, 3952, 3945, 52279
29981,0, 3952, 3945, 52279
30031,0, 4693, 3945, 52279
30081,0, 4693, 4090, 52279
30131,0, 4693, 4090, 52279
30181,0, 4693, 4090, 52279
30231,0, 4693, 4090, 52279
30281,0, 4693, 4090, 52247
30331,0, 4693, 4090, 52247
30423,0, 4693, 4090, 52247
30473,0, 4693, 4248, 52247
30523,0, 4693, 4248, 52247
30573,0, 4693, 4248, 52247
30623,0, 4693, 4248, 52247
30673,0, 5218, 4248, 52204
30723,0, 5218, 4248, 52204
30773,0, 5218, 4248, 52204
30823,0, 5218, 4248, 52204
30873,0, 5218, 4425, 52204
31009,0, 5218, 4425, 52204
31059,0, 5218, 4425, 52172
31109,0, 5218, 4425, 52172
31159,0, 5218, 4425, 52172
31209,0, 5218, 4425, 52172
31259,0, 5821, 4572, 52172
31309,0, 5821, 4572, 52172
31359,0, 5821, 4572, 52172
31409,0, 5821, 4572, 52172
31501,0, 5821, 4572, 52132
31551,0, 5821, 4572, 52132
31601,0, 5821, 4572, 52132
31651,0, 5821, 4572, 52132
31701,0, 5821, 4750, 52132
31751,0, 5821, 4750, 52132
31801,0, 5821, 4750, 52132
31938,0, 6299, 4750, 52095
31988,0, 6299, 4750, 52095
32038,0, 6299, 4750, 52095
32088,0, 6299, 4898, 52095
32138,0, 6299, 4898, 52095
32188,0, 6299, 4898, 52095
32238,0, 6762, 4898, 52095
32288,0, 6762, 4898, 52066
32338,0, 6762, 4898, 52066
32388,0, 6762, 4898, 52066
32438,0, 6762, 4898, 52066
