Tick,Throttle,Speed,Current,Voltage,Speed1
27,0, 0, 0, 0, 5682
84,0, 0, 0, 0, 5682
134,0, 0, 0, 0, 5682
184,0, 0, 0, 0, 5682
234,0, 0, 0, 0, 5682
284,0, 0, 0, 0, 5682
337,0, 0, 0, 0, 5682
387,0, 0, 0, 0, 5682
437,0, 0, 0, 0, 5682
487,0, 0, 0, 0, 5682
537,0, 0, 0, 0, 5682
589,0, 0, 0, 0, 5682
639,0, 0, 0, 0, 5682
689,0, 0, 0, 0, 5682
739,0, 0, 0, 0, 5682
789,0, 0, 0, 0, 5682
841,0, 0, 0, 0, 5682
891,0, 0, 0, 0, 5682
941,0, 0, 0, 0, 5682
991,0, 0, 0, 0, 5682
1041,0, 0, 0, 0, 5682
1093,0, 0, 0, 0, 5682
1143,0, 0, 0, 0, 5682
1195,0, 0, 0, 0, 5682
1245,0, 0, 0, 0, 5682
1295,0, 0, 0, 0, 5682
1347,0, 0, 0, 0, 5682
1397,0, 0, 0, 0, 5682
1447,0, 0, 0, 0, 5682
1497,0, 0, 0, 0, 5682
1547,0, 0, 0, 0, 5682
1599,0, 0, 0, 0, 5682
1649,0, 0, 0, 0, 5682
1699,0, 0, 0, 0, 5682
1749,0, 0, 0, 0, 5682
1799,0, 0, 0, 0, 5682
1851,0, 0, 0, 0, 5682
1901,0, 0, 0, 0, 5682
1951,0, 0, 0, 0, 5682
2001,0, 0, 0, 0, 5682
2051,0, 0, 0, 0, 5682
2103,0, 0, 0, 0, 5682
2153,0, 0, 0, 0, 5682
2203,0, 0, 0, 0, 5682
2253,0, 0, 0, 0, 5682
2303,0, 0, 0, 0, 5682
2357,0, 0, 0, 0, 5682
2407,0, 0, 0, 0, 5682
2457,0, 0, 0, 0, 5682
2507,0, 0, 0, 0, 5682
2557,0, 0, 0, 0, 5682
2609,0, 0, 0, 0, 5682
2659,0, 0, 0, 0, 5682
2709,0, 0, 0, 0, 5682
2759,0, 0, 0, 0, 5682
2809,0, 0, 0, 0, 5682
2861,0, 0, 0, 0, 5682
2911,0, 0, 0, 0, 5682
2961,0, 0, 0, 0, 5682
3011,0, 0, 0, 0, 5682
3061,0, 0, 0, 0, 5682
3113,0, 0, 0, 0, 5682
3163,0, 0, 0, 0, 5682
3213,0, 0, 0, 0, 5682
3263,0, 0, 0, 0, 5682
3313,0, 0, 0, 0, 5682
3365,0, 0, 0, 0, 5682
3415,0, 0, 0, 0, 5682
3465,0, 0, 0, 0, 5682
3516,0, 0, 0, 0, 5682
3566,0, 0, 0, 0, 5682
3618,0, 0, 0, 0, 5682
3668,0, 0, 0, 0, 5682
3718,0, 0, 0, 0, 5682
3768,0, 0, 0, 0, 5682
3818,0, 0, 0, 0, 5682
3870,0, 0, 0, 0, 5682
3920,0, 0, 0, 0, 5682
3970,0, 0, 0, 0, 5682
4020,0, 0, 0, 0, 5682
4070,0, 0, 0, 0, 5682
4122,0, 0, 0, 0, 5682
4172,0, 0, 0, 0, 5682
4222,0, 0, 0, 0, 5682
4272,0, 0, 0, 0, 5682
4322,0, 0, 0, 0, 5682
4374,0, 0, 0, 0, 5682
4424,0, 0, 0, 0, 5682
4474,0, 0, 0, 0, 5682
4524,0, 0, 0, 0, 5682
4574,0, 0, 0, 0, 5682
4626,0, 0, 0, 0, 5682
4676,0, 0, 0, 0, 5682
4727,0, 0, 0, 0, 5682
4777,0, 0, 0, 0, 5682
4827,0, 0, 0, 0, 5682
4879,0, 0, 0, 0, 5682
4929,0, 0, 0, 0, 5682
4979,0, 0, 0, 0, 5682
5029,0, 0, 0, 0, 5682
5079,0, 0, 0, 0, 5682
5131,0, 0, 0, 0, 5682
5181,0, 0, 0, 0, 5682
5231,0, 0, 0, 0, 5682
5281,0, 0, 0, 0, 5682
5331,0, 0, 0, 0, 5682
5383,0, 0, 0, 0, 5682
5433,0, 0, 0, 0, 5682
5483,0, 0, 0, 0, 5682
5533,0, 0, 0, 0, 5682
5583,0, 0, 0, 0, 5682
5635,0, 0, 0, 0, 5682
5685,0, 0, 0, 0, 5682
5735,0, 0, 0, 0, 5682
5785,0, 0, 0, 0, 5682
5835,0, 0, 0, 0, 5682
5889,0, 0, 0, 0, 5682
5939,0, 0, 0, 0, 5682
5989,0, 0, 0, 0, 5682
6039,0, 0, 0, 0, 5682
6089,0, 0, 0, 0, 5682
6141,0, 0, 0, 0, 5682
6191,0, 0, 0, 0, 5682
6241,0, 0, 0, 0, 5682
6291,0, 0, 0, 0, 5682
6341,0, 0, 0, 0, 5682
6393,0, 0, 0, 0, 5682
6443,0, 0, 0, 0, 5682
6493,0, 0, 0, 0, 5682
6543,0, 0, 0, 0, 5682
6593,0, 0, 0, 0, 5682
6645,0, 0, 0, 0, 5682
6695,0, 0, 0, 0, 5682
6745,0, 0, 0, 0, 5682
6795,0, 0, 0, 0, 5682
6845,0, 0, 0, 0, 5682
6899,0, 0, 0, 0, 5682
6949,0, 0, 0, 0, 5682
6999,0, 0, 0, 0, 5682
7050,0, 0, 0, 0, 5682
7100,0, 0, 0, 0, 5682
7152,0, 0, 0, 0, 5682
7202,0, 0, 0, 0, 5682
7252,0, 0, 0, 0, 5682
7302,0, 0, 0, 0, 5682
7352,0, 0, 0, 0, 5682
7404,0, 0, 0, 0, 5682
7454,0, 0, 0, 0, 5682
7504,0, 0, 0, 0, 5682
7554,0, 0, 0, 0, 5682
7604,0, 0, 0, 0, 5682
7656,0, 0, 0, 0, 5682
7706,0, 0, 0, 0, 5682
7756,0, 0, 0, 0, 5682
7806,0, 0, 0, 0, 5682
7856,0, 0, 0, 0, 5682
7908,0, 0, 0, 0, 5682
7958,0, 0, 0, 0, 5682
8008,0, 0, 0, 0, 5682
8058,0, 0, 0, 0, 5682
8108,0, 0, 0, 0, 5682
8160,0, 0, 0, 0, 5682
8210,0, 0, 0, 0, 5682
8261,0, 0, 0, 0, 5682
8311,0, 0, 0, 0, 5682
8361,0, 0, 0, 0, 5682
8413,0, 0, 0, 0, 5682
8463,0, 0, 0, 0, 5682
8513,0, 0, 0, 0, 5682
8563,0, 0, 0, 0, 5682
8613,0, 0, 0, 0, 5682
8665,0, 0, 0, 0, 5682
8715,0, 0, 0, 0, 5682
8765,0, 0, 0, 0, 5682
8815,0, 0, 0, 0, 5682
8865,0, 0, 0, 0, 5682
8917,0, 0, 0, 0, 5682
8967,0, 0, 0, 0, 5682
9017,0, 0, 0, 0, 5682
9067,0, 0, 0, 0, 5682
9117,0, 0, 0, 0, 5682
9169,0, 0, 0, 0, 5682
9219,0, 0, 0, 0, 5682
9269,0, 0, 0, 0, 5682
9319,0, 0, 0, 0, 5682
9369,0, 0, 0, 0, 5682
9422,0, 0, 0, 0, 5682
9472,0, 0, 0, 0, 5682
9522,0, 0, 0, 0, 5682
9572,0, 0, 0, 0, 5682
9622,0, 0, 0, 0, 5682
9674,0, 0, 0, 0, 5682
9724,0, 0, 0, 0, 5682
9774,0, 0, 0, 0, 5682
9824,0, 0, 0, 0, 5682
9874,0, 0, 0, 0, 5682
9926,0, 0, 0, 0, 5682
9976,0, 0, 0, 0, 5682
10026,0, 0, 0, 0, 5682
10076,0, 0, 0, 0, 5682
10126,0, 0, 0, 0, 5682
10178,0, 0, 0, 0, 5682
10228,0, 0, 0, 0, 5682
10278,0, 0, 0, 0, 5682
10328,0, 0, 0, 0, 5682
10378,0, 0, 0, 0, 5682
10430,0, 0, 0, 0, 5682
10480,0, 0, 0, 0, 5682
10530,0, 0, 0, 0, 5682
10581,0, 0, 0, 0, 5682
10631,0, 0, 0, 0, 5682
10683,0, 0, 0, 0, 5682
10733,0, 0, 0, 0, 5682
10783,0, 0, 0, 0, 5682
10833,0, 0, 0, 0, 5682
10883,0, 0, 0, 0, 5682
10935,0, 0, 0, 0, 5682
10985,0, 0, 0, 0, 5682
11035,0, 0, 0, 0, 5682
11085,0, 0, 0, 0, 5682
11135,0, 0, 0, 0, 5682
11187,0, 0, 0, 0, 5682
11237,0, 0, 0, 0, 5682
11287,0, 0, 0, 0, 5682
11337,0, 0, 0, 0, 5682
11387,0, 0, 0, 0, 5682
11439,0, 0, 0, 0, 5682
11489,0, 0, 0, 0, 5682
11539,0, 0, 0, 0, 5682
11589,0, 0, 0, 0, 5682
11639,0, 0, 0, 0, 5682
11693,0, 0, 0, 0, 5682
11743,0, 0, 0, 0, 5682
11793,0, 0, 0, 0, 5682
11843,0, 0, 0, 0, 5682
11893,0, 0, 0, 0, 5682
11945,0, 0, 0, 0, 5682
11995,0, 0, 0, 0, 5682
12045,0, 0, 0, 0, 5682
12095,0, 0, 0, 0, 5682
12145,0, 0, 0, 0, 5682
12197,0, 0, 0, 0, 5682
12247,0, 0, 0, 0, 5682
12297,0, 0, 0, 0, 5682
12347,0, 0, 0, 0, 5682
12397,0, 0, 0, 0, 5682
12449,0, 0, 0, 0, 5682
12499,0, 0, 0, 0, 5682
12549,0, 0, 0, 0, 5682
12599,0, 0, 0, 0, 5682
12649,0, 0, 0, 0, 5682
12703,0, 0, 0, 0, 5682
12753,0, 0, 0, 0, 5682
12804,0, 0, 0, 0, 5682
12854,0, 0, 0, 0, 5682
12904,0, 0, 0, 0, 5682
12956,0, 0, 0, 0, 5682
13008,0, 0, 0, 0, 5682
13058,0, 0, 0, 0, 5682
13108,0, 0, 0, 0, 5682
13158,0, 0, 0, 0, 5682
13208,0, 0, 0, 0, 5682
13260,0, 0, 0, 0, 5682
13310,0, 0, 0, 0, 5682
13360,0, 0, 0, 0, 5682
13410,0, 0, 0, 0, 5682
13460,0, 0, 0, 0, 5682
13512,0, 0, 0, 0, 5682
13562,0, 0, 0, 0, 5682
13612,0, 0, 0, 0, 5682
13662,0, 0, 0, 0, 5682
13712,0, 0, 0, 0, 5682
