Tick,Throttle,Speed,Current,Voltage
5777,415, 0, 617, 52893
6083,415, 0, 653, 52907
6133,415, 0, 653, 52907
6183,415, 0, 653, 52907
6233,415, 0, 653, 52907
6283,415, 0, 653, 52907
6333,415, 0, 585, 52907
6383,415, 0, 585, 52907
6433,415, 0, 585, 52907
6483,415, 0, 585, 52907
6533,415, 0, 585, 52907
6583,415, 0, 585, 52907
6633,415, 0, 585, 52907
6683,415, 0, 585, 52907
6733,415, 0, 621, 52907
6783,415, 0, 621, 52907
6833,415, 0, 621, 52907
6883,415, 0, 621, 52907
6933,415, 0, 621, 52890
6983,415, 0, 621, 52890
7075,415, 0, 621, 52890
7252,415, 0, 654, 52890
7302,415, 0, 654, 52903
7352,415, 0, 654, 52903
7402,415, 0, 654, 52903
7452,415, 0, 654, 52903
7502,415, 0, 584, 52903
7552,415, 0, 584, 52903
7602,415, 0, 584, 52903
7652,415, 0, 584, 52903
7702,415, 0, 584, 52906
7752,415, 0, 584, 52906
7802,415, 0, 584, 52906
7852,415, 0, 584, 52906
7902,415, 0, 623, 52906
7952,415, 0, 623, 52906
8002,415, 0, 623, 52906
8052,415, 0, 623, 52906
8102,415, 0, 623, 52885
8152,415, 0, 623, 52885
8202,415, 0, 623, 52885
8338,415, 0, 605, 52885
8431,415, 0, 605, 52885
8481,415, 0, 605, 52885
8531,415, 0, 605, 52904
8581,415, 0, 605, 52904
8631,415, 0, 605, 52904
8681,415, 0, 605, 52904
8731,415, 0, 534, 52904
8781,415, 0, 534, 52904
8831,415, 0, 534, 52904
8881,415, 0, 534, 52904
8931,415, 0, 534, 52908
8981,415, 0, 534, 52908
9031,415, 0, 534, 52908
9081,415, 0, 534, 52908
9131,415, 0, 585, 52908
9181,415, 0, 585, 52908
9231,415, 0, 585, 52908
9281,415, 0, 585, 52908
9331,415, 0, 585, 52895
9467,415, 0, 585, 52895
9517,415, 0, 622, 52895
9610,415, 0, 622, 52895
9660,415, 0, 622, 52895
9710,415, 0, 622, 52906
9760,415, 0, 622, 52906
9810,415, 0, 622, 52906
9860,415, 0, 622, 52906
9910,415, 0, 551, 52906
9960,415, 0, 551, 52906
10010,415, 0, 551, 52906
10060,415, 0, 551, 52906
10110,415, 0, 551, 52911
10160,415, 0, 551, 52911
10210,415, 0, 551, 52911
10260,415, 0, 551, 52911
10310,415, 0, 593, 52911
10360,415, 0, 593, 52911
10410,415, 0, 593, 52911
10460,415, 0, 593, 52911
10596,415, 0, 593, 52888
10646,415, 0, 593, 52888
10696,415, 0, 593, 52888
10789,415, 0, 619, 52888
10839,415, 0, 619, 52888
10889,415, 0, 619, 52888
10939,415, 0, 619, 52907
10989,415, 0, 619, 52907
11039,415, 0, 619, 52907
11089,415, 0, 619, 52907
11139,415, 0, 549, 52907
11189,415, 0, 549, 52907
11239,415, 0, 549, 52907
11289,415, 0, 549, 52907
11339,415, 0, 549, 52915
11389,415, 0, 549, 52915
11439,415, 0, 549, 52915
11489,415, 0, 549, 52915
11539,415, 0, 584, 52915
11589,415, 0, 584, 52915
11725,415, 0, 584, 52890
11775,415, 0, 584, 52890
11825,415, 0, 584, 52890
11918,415, 0, 614, 52890
11968,415, 0, 614, 52890
12018,415, 0, 614, 52890
12068,415, 0, 614, 52890
12118,415, 0, 614, 52903
12168,415, 0, 614, 52903
12218,415, 0, 614, 52903
12268,415, 0, 614, 52903
12318,415, 0, 545, 52903
12368,415, 0, 545, 52903
12418,415, 0, 545, 52903
12468,415, 0, 545, 52903
12518,415, 0, 545, 52905
12568,415, 0, 545, 52905
12618,415, 0, 545, 52905
12668,415, 0, 545, 52905
12718,415, 0, 589, 52905
12854,415, 0, 589, 52905
12904,415, 0, 589, 52905
12954,415, 0, 589, 52887
13004,415, 0, 589, 52887
13098,415, 0, 589, 52887
13148,415, 0, 616, 52887
13198,415, 0, 616, 52887
