Tick,Throttle,Speed,Current,Voltage
23757,369, 0, 344, 52337
24062,488, 0, 343, 52337
24112,488, 0, 343, 52337
24162,488, 0, 343, 52337
24212,488, 0, 343, 52348
24262,488, 0, 343, 52348
24312,488, 0, 343, 52348
24362,488, 0, 343, 52348
24412,488, 0, 344, 52348
24462,488, 0, 344, 52348
24512,488, 0, 344, 52348
24562,488, 0, 344, 52348
24612,488, 0, 344, 52337
24662,488, 0, 344, 52337
24712,488, 0, 344, 52337
24762,488, 0, 344, 52337
24812,488, 0, 255, 52337
24862,533, 0, 255, 52337
24912,533, 0, 255, 52337
24962,533, 0, 255, 52337
25054,533, 0, 255, 52365
25231,533, 0, 225, 52365
25281,533, 0, 225, 52365
25331,533, 0, 225, 52365
25381,533, 0, 225, 52366
25431,533, 0, 225, 52366
25481,533, 0, 225, 52366
25531,533, 0, 225, 52366
25581,533, 0, 192, 52366
25631,534, 0, 192, 52366
25681,534, 0, 192, 52366
25731,534, 0, 192, 52366
25781,534, 0, 192, 52366
25831,534, 0, 192, 52366
25881,534, 0, 192, 52366
25931,534, 0, 192, 52366
25981,534, 0, 192, 52366
26031,534, 0, 190, 52366
26081,534, 0, 190, 52366
26131,534, 0, 190, 52366
26223,534, 0, 190, 52351
26358,534, 0, 190, 52351
26408,534, 0, 281, 52351
26458,535, 0, 281, 52351
26508,535, 0, 281, 52351
26558,535, 0, 281, 52351
26608,535, 0, 281, 52341
26658,535, 0, 281, 52341
26708,535, 0, 281, 52341
26758,535, 0, 281, 52341
26808,535, 0, 366, 52341
26858,535, 0, 366, 52341
26908,535, 0, 366, 52341
26958,535, 0, 366, 52341
27008,535, 0, 366, 52332
27058,535, 0, 366, 52332
27108,535, 0, 366, 52332
27158,535, 0, 366, 52332
27208,535, 0, 295, 52332
27258,534, 0, 295, 52332
27308,534, 0, 295, 52332
27486,534, 0, 295, 52377
27536,534, 0, 295, 52377
27586,534, 0, 295, 52377
27636,534, 0, 124, 52377
27686,534, 0, 124, 52377
27736,534, 0, 124, 52377
27786,534, 0, 124, 52377
27836,534, 0, 124, 52378
27886,534, 0, 124, 52378
27936,534, 0, 124, 52378
27986,534, 0, 124, 52378
28036,533, 0, 118, 52378
28086,533, 0, 118, 52378
28136,533, 0, 118, 52378
28186,533, 0, 118, 52378
28236,533, 0, 118, 52378
28286,533, 0, 118, 52378
28336,533, 0, 118, 52378
28386,533, 0, 118, 52378
28436,533, 0, 116, 52378
28614,533, 0, 116, 52378
28664,533, 0, 116, 52378
28714,533, 0, 116, 52378
28764,533, 0, 116, 52378
28814,533, 0, 117, 52378
28864,534, 0, 117, 52378
28914,534, 0, 117, 52378
28964,534, 0, 117, 52378
29014,534, 0, 117, 52379
29064,534, 0, 117, 52379
29114,534, 0, 117, 52379
29164,534, 0, 117, 52379
29214,534, 0, 117, 52379
29264,534, 0, 117, 52379
29314,534, 0, 117, 52379
29364,534, 0, 117, 52379
29414,534, 0, 117, 52379
29464,534, 0, 117, 52379
29514,534, 0, 117, 52379
29564,534, 0, 117, 52379
29742,534, 0, 117, 52379
29792,534, 0, 117, 52379
29842,534, 0, 117, 52366
29892,534, 0, 117, 52366
29942,534, 0, 117, 52366
29992,534, 0, 117, 52366
30042,534, 0, 209, 52366
30092,534, 0, 209, 52366
30142,534, 0, 209, 52366
30192,534, 0, 209, 52366
30242,534, 0, 209, 52365
30292,534, 0, 209, 52365
30342,534, 0, 209, 52365
30392,534, 0, 209, 52365
30442,534, 0, 194, 52365
30492,534, 0, 194, 52365
30542,534, 0, 194, 52365
30592,534, 0, 194, 52365
30642,534, 0, 194, 52366
30692,534, 0, 194, 52366
30829,534, 0, 199, 52366
30921,534, 0, 199, 52366
30971,534, 0, 199, 52366
31021,534, 0, 199, 52351
31071,534, 0, 199, 52351
31121,534, 0, 199, 52351
31171,534, 0, 199, 52351
31221,534, 0, 332, 52351
31271,613, 0, 332, 52351
31321,613, 0, 332, 52351
31371,613, 0, 332, 52351
31421,613, 0, 332, 52333
31471,613, 0, 332, 52333
31521,613, 0, 332, 52333
31571,613, 0, 332, 52333
31621,613, 0, 372, 52333
31671,613, 0, 372, 52333
31721,613, 0, 372, 52333
31771,613, 0, 372, 52333
31821,613, 0, 372, 52333
31956,613, 0, 372, 52333
32048,621, 0, 371, 52333
32098,621, 0, 371, 52333
32148,621, 0, 371, 52333
32198,621, 0, 371, 52333
32248,621, 0, 371, 52341
32298,621, 0, 371, 52341
32348,621, 0, 371, 52341
32398,621, 0, 371, 52341
32448,621, 0, 366, 52341
32498,621, 0, 366, 52341
32548,621, 0, 366, 52341
32598,621, 0, 366, 52341
32648,621, 0, 366, 52341
32698,621, 0, 366, 52341
32748,621, 0, 366, 52341
32798,621, 0, 366, 52341
32848,725, 0, 365, 52341
32898,725, 0, 365, 52341
32948,725, 0, 365, 52341
33083,725, 0, 365, 52341
33133,725, 0, 365, 52341
33225,725, 0, 357, 52341
33275,725, 0, 357, 52341
33325,725, 0, 357, 52341
33375,725, 0, 357, 52341
33425,725, 0, 357, 52337
33475,725, 0, 357, 52337
33525,725, 0, 357, 52337
33575,725, 0, 357, 52337
33625,753, 0, 348, 52337
33675,753, 0, 348, 52337
33725,753, 0, 348, 52337
33775,753, 0, 348, 52337
33825,753, 0, 348, 52335
33875,753, 0, 348, 52335
33925,753, 0, 348, 52335
33975,753, 0, 348, 52335
34025,753, 0, 345, 52335
34075,753, 0, 345, 52335
34210,753, 0, 345, 52335
34260,753, 0, 345, 52344
34352,753, 0, 345, 52344
34402,753, 0, 345, 52344
34452,760, 0, 342, 52344
34502,760, 0, 342, 52344
34552,760, 0, 342, 52344
34602,760, 0, 342, 52344
34652,760, 0, 342, 52339
34702,760, 0, 342, 52339
34752,760, 0, 342, 52339
34802,760, 0, 342, 52339
34852,760, 0, 343, 52339
34902,760, 0, 343, 52339
34952,760, 0, 343, 52339
35002,760, 0, 343, 52339
35052,760, 0, 343, 52338
35102,760, 0, 343, 52338
35152,760, 0, 343, 52338
35202,760, 0, 343, 52338
35337,857, 0, 342, 52338
35387,857, 0, 342, 52338
35437,857, 0, 342, 52340
35529,857, 0, 342, 52340
35579,857, 0, 342, 52340
35629,857, 0, 342, 52340
35679,857, 0, 343, 52340
35729,857, 0, 343, 52340
35779,857, 0, 343, 52340
35829,857, 0, 343, 52340
35879,857, 0, 343, 52337
35929,857, 0, 343, 52337
35979,857, 0, 343, 52337
36029,958, 0, 343, 52337
36079,958, 0, 343, 52337
36129,958, 0, 343, 52337
36179,958, 0, 343, 52337
36229,958, 0, 343, 52337
36279,958, 0, 343, 52343
36329,958, 0, 343, 52343
36464,958, 0, 341, 52343
36514,958, 0, 341, 52343
36564,958, 0, 341, 52343
36656,958, 0, 341, 52336
36706,958, 0, 341, 52336
36756,958, 0, 341, 52336
36806,958, 0, 341, 52336
36856,1000, 0, 342, 52336
36906,1000, 0, 342, 52336
36956,1000, 0, 342, 52336
37006,1000, 0, 342, 52336
37056,1000, 0, 342, 52340
37106,1000, 0, 342, 52340
37156,1000, 0, 342, 52340
37206,1000, 0, 342, 52340
37256,1000, 0, 342, 52340
37306,1000, 0, 342, 52340
37356,1000, 0, 342, 52340
37406,1000, 0, 342, 52340
37456,1000, 0, 342, 52337
37591,1000, 0, 342, 52337
37641,1000, 0, 344, 52337
37691,1000, 0, 344, 52337
37783,1000, 0, 344, 52337
37833,1000, 0, 344, 52337
37883,1000, 0, 344, 52338
37933,1000, 0, 344, 52338
37983,1000, 0, 344, 52338
38033,1000, 0, 344, 52338
38083,1000, 0, 344, 52338
38133,1000, 0, 344, 52338
38183,1000, 0, 344, 52338
38233,1000, 0, 344, 52338
38283,1000, 0, 344, 52333
38333,1000, 0, 344, 52333
38383,1000, 0, 344, 52333
38518,1000, 0, 342, 52333
38568,1000, 0, 342, 52333
38618,1000, 0, 342, 52333
38668,1000, 0, 342, 52336
38718,1000, 0, 342, 52336
38768,1000, 0, 342, 52336
38818,1000, 0, 342, 52336
38910,1000, 0, 341, 52336
38960,1000, 0, 341, 52336
39010,1000, 0, 341, 52336
39060,1000, 0, 341, 52331
39110,1000, 0, 341, 52331
39160,1000, 0, 341, 52331
39210,1000, 0, 341, 52331
39260,1000, 0, 341, 52331
39310,1000, 0, 341, 52331
39360,1000, 0, 341, 52331
39410,1000, 0, 341, 52331
39460,1000, 0, 341, 52036
39510,1000, 0, 341, 52036
39645,1000, 0, 341, 52036
39695,1000, 0, 2213, 52036
39745,1000, 0, 2213, 52036
39795,1000, 0, 2213, 52036
39845,1000, 0, 2213, 52036
39895,1000, 0, 2213, 52000
39987,1000, 0, 2213, 52000
40037,1000, 0, 2213, 52000
40087,1000, 0, 2496, 52000
40137,1000, 0, 2496, 52000
40187,1000, 0, 2496, 52000
40237,1000, 0, 2496, 52000
40287,1000, 0, 2496, 51959
40337,1000, 0, 2496, 51959
40387,1000, 0, 2496, 51959
40437,1000, 0, 2496, 51959
40487,1000, 0, 2688, 51959
40537,1000, 0, 2688, 51959
