Tick,Throttle,Speed,Current,Voltage,HallPulses,Distance_m
29280,689,10328,123,48983,126,52.785
29586,690,10332,122,48983,128,53.623
29636,690,10319,122,48983,129,54.042
29686,690,10319,122,48983,129,54.042
29736,690,10319,122,48983,129,54.042
29786,690,10319,122,48982,130,54.461
29836,690,10288,122,48982,130,54.461
29886,690,10288,122,48982,130,54.461
29936,690,10288,122,48982,131,54.880
29986,690,10288,122,48982,131,54.880
30036,690,10272,122,48982,131,54.880
30086,690,10272,122,48982,132,55.299
30136,690,10272,122,48982,132,55.299
30228,690,10251,122,48982,133,55.718
30278,690,10251,122,48982,133,55.718
30328,689,10251,122,48982,133,55.718
30378,689,10251,122,48982,134,56.137
30428,689,10194,122,48982,134,56.137
30478,689,10194,122,48982,134,56.137
30528,689,10194,122,48982,135,56.556
30578,689,10194,122,48982,135,56.556
30755,689,10204,122,48982,136,56.975
30805,689,10191,123,48982,136,56.975
30855,689,10191,123,48982,137,57.394
30905,689,10191,123,48982,137,57.394
30955,689,10191,123,48982,138,57.813
31005,689,10157,123,48983,138,57.813
31098,689,10157,123,48983,138,57.813
31148,690,10157,123,48983,139,58.231
31198,690,10157,122,48983,139,58.231
31248,690,10162,122,48983,139,58.231
31298,690,10162,122,48983,140,58.650
31348,690,10162,122,48983,140,58.650
31398,690,10162,122,48982,140,58.650
31448,690,10146,122,48982,141,59.069
31498,690,10146,122,48982,141,59.069
31548,690,10146,122,48982,141,59.069
31598,690,10146,122,48982,142,59.488
31648,690,10088,122,48982,142,59.488
31698,690,10088,122,48982,142,59.488
31791,690,10088,122,48982,143,59.907
31926,690,10071,122,48982,144,60.326
31976,690,10071,122,48982,144,60.326
32026,690,10067,122,48982,145,60.745
32076,690,10067,122,48982,145,60.745
32126,690,10067,122,48982,145,60.745
32176,690,10067,122,48982,146,61.164
32226,690,10027,122,48981,146,61.164
32276,690,10027,122,48981,146,61.164
32326,690,10027,122,48981,147,61.583
32376,690,10027,122,48981,147,61.583
32426,690,10010,123,48981,147,61.583
32476,690,10010,123,48981,148,62.002
32526,690,10010,123,48981,148,62.002
32619,690,10003,123,48982,149,62.421
32669,690,10003,123,48982,149,62.421
32719,690,10003,123,48982,149,62.421
32769,690,10003,123,48982,150,62.840
32819,690,9986,122,48982,150,62.840
32869,690,9986,122,48982,150,62.840
32919,690,9986,122,48982,151,63.259
33054,690,9963,122,48982,151,63.259
33104,690,9963,122,48982,152,63.678
33154,690,9963,122,48982,152,63.678
33204,690,9958,122,48982,152,63.678
33254,690,9958,122,48982,153,64.097
33304,690,9958,122,48982,153,64.097
33354,690,9958,122,48982,153,64.097
33447,690,9932,122,48982,154,64.515
33497,690,9932,122,48982,154,64.515
33547,689,9932,122,48982,155,64.934
33597,689,9932,122,48982,155,64.934
33647,689,9906,122,48982,155,64.934
33697,689,9906,122,48982,156,65.353
33747,689,9906,122,48982,156,65.353
33797,689,9906,122,48982,156,65.353
33847,689,9894,122,48982,157,65.772
33897,689,9894,122,48982,157,65.772
33947,689,9894,122,48982,157,65.772
33997,689,9894,122,48982,158,66.191
34047,689,9847,121,48982,158,66.191
34182,689,9847,121,48982,159,66.610
34232,689,9839,121,48981,159,66.610
34325,690,9839,121,48981,160,67.029
34375,690,9839,121,48981,160,67.029
34425,690,9834,121,48981,160,67.029
34475,690,9834,121,48981,161,67.448
34525,690,9834,121,48981,161,67.448
34575,690,9834,121,48981,161,67.448
34625,690,9777,121,48988,162,67.867
34675,690,9777,121,48988,162,67.867
34725,690,9777,121,48988,162,67.867
34775,690,9777,121,48988,163,68.286
34825,690,9778,122,48988,163,68.286
34875,690,9778,122,48988,163,68.286
34925,690,9778,122,48988,164,68.705
34975,690,9778,122,48988,164,68.705
35068,690,9777,122,48987,165,69.124
35118,690,9777,122,48987,165,69.124
35168,689,9777,122,48987,165,69.124
35218,689,9685,122,48987,165,69.124
