Vendor,GRAPHTEC Corporation
Model,GL240
Firmware,Ver1.43
Software, "Ver1.30"
MaxChannel,10CH
GSStartCH
WLStartCH,10CH
Sampling,50ms
Total data points,365         
Trigger,0           
Start time,2023-05-20,16:57:54
Stop time,2023-05-20,16:58:12
Trigger time,2023-05-20,16:57:54
AC Mode, AC1_2, AC1_2
Logic/Pulse,Pulse,Off
Amp setting
CH, Signal name, AMP, Input, Range, Temp Range, Filter, Span
CH4,CH 4,M,DC,1-5V,,Off,0.458300,-0.458300,On
CH5,CH 5,M,DC,2V,,Off,50.000000,-50.000000,A
CH6,CH 6,M,DC,100V,,Off,50.000000,-50.000000,V
Pulse1,COUNT,L,On,500000.000000,0.000000,C
Data
No., Date&Time, ms,CH4,CH5,CH6,Pulse1,Alarm1,AlarmLP,AlarmOut
NO.,Time,ms,On,A,V,C,A1234567890,A1-28,A123456789
1,2023-05-20 16:57:54,000,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
2,2023-05-20 16:57:54,050,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
3,2023-05-20 16:57:54,100,+0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
4,2023-05-20 16:57:54,150,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
5,2023-05-20 16:57:54,200,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
6,2023-05-20 16:57:54,250,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
7,2023-05-20 16:57:54,300,+0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
8,2023-05-20 16:57:54,350,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
9,2023-05-20 16:57:54,400,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
10,2023-05-20 16:57:54,450,+0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
11,2023-05-20 16:57:54,500,+0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
12,2023-05-20 16:57:54,550,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
13,2023-05-20 16:57:54,600,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
14,2023-05-20 16:57:54,650,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
15,2023-05-20 16:57:54,700,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
16,2023-05-20 16:57:54,750,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
17,2023-05-20 16:57:54,800,+0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
18,2023-05-20 16:57:54,850,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
19,2023-05-20 16:57:54,900,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
20,2023-05-20 16:57:54,950,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
21,2023-05-20 16:57:55,000,+0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
22,2023-05-20 16:57:55,050,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
23,2023-05-20 16:57:55,100,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
24,2023-05-20 16:57:55,150,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
25,2023-05-20 16:57:55,200,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
26,2023-05-20 16:57:55,250,+0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
27,2023-05-20 16:57:55,300,-0.000,-0.0480,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
28,2023-05-20 16:57:55,350,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
29,2023-05-20 16:57:55,400,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
30,2023-05-20 16:57:55,450,+0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
31,2023-05-20 16:57:55,500,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
32,2023-05-20 16:57:55,550,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
33,2023-05-20 16:57:55,600,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
34,2023-05-20 16:57:55,650,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
35,2023-05-20 16:57:55,700,+0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
36,2023-05-20 16:57:55,750,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
37,2023-05-20 16:57:55,800,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
38,2023-05-20 16:57:55,850,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
39,2023-05-20 16:57:55,900,+0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
40,2023-05-20 16:57:55,950,+0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
41,2023-05-20 16:57:56,000,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
42,2023-05-20 16:57:56,050,+0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
43,2023-05-20 16:57:56,100,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
44,2023-05-20 16:57:56,150,+0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
45,2023-05-20 16:57:56,200,+0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
46,2023-05-20 16:57:56,250,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
47,2023-05-20 16:57:56,300,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
48,2023-05-20 16:57:56,350,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
49,2023-05-20 16:57:56,400,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
50,2023-05-20 16:57:56,450,+0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
51,2023-05-20 16:57:56,500,+0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
52,2023-05-20 16:57:56,550,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
53,2023-05-20 16:57:56,600,+0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
54,2023-05-20 16:57:56,650,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
55,2023-05-20 16:57:56,700,+0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
56,2023-05-20 16:57:56,750,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
57,2023-05-20 16:57:56,800,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
58,2023-05-20 16:57:56,850,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
59,2023-05-20 16:57:56,900,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
60,2023-05-20 16:57:56,950,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
61,2023-05-20 16:57:57,000,+0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
62,2023-05-20 16:57:57,050,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
63,2023-05-20 16:57:57,100,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
64,2023-05-20 16:57:57,150,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
65,2023-05-20 16:57:57,200,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
66,2023-05-20 16:57:57,250,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
67,2023-05-20 16:57:57,300,+0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
68,2023-05-20 16:57:57,350,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
69,2023-05-20 16:57:57,400,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
70,2023-05-20 16:57:57,450,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
71,2023-05-20 16:57:57,500,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
