rec_id;obc_timeStamp;gps_utcTime;gps_latitude;gps_longitude;gps_fixQuality;gps_dilution;gps_speed;lfm_netCounts;lfm_posCounts;lfm_temperature;lfm_integratedCorrFlow;lfm_instantFlow;gfs_gasFlow;gfs_gasTemp;gfs_netGasVolume;jm3_netjoule;jm3_voltage;jm3_current;sup_VoltageIn;all_energy;message_id;volt_voltage;volt_difference;Lap;Time;Column1;_1;_2
2535;1681578246.42;2017-04-05;39.79231675;-86.238630133;1.0;2023-01-01;7.0;;;;;;;;;2766.03;51430.0;5582.0;16206.0;2766.030029;714_202304_15_1659_56_0002498;;;1;17.06845;;;
2536;1681578246.51;2017-04-06;39.79234265;-86.238629483;1.0;2023-01-01;7.7;;;;;;;;;2823.817;51409.0;5640.0;16206.0;2823.817139;714_202304_15_1659_56_0002499;;;1;17.068474999964444;;;489675
2537;1681578246.62;2017-04-06;39.79234265;-86.238629483;1.0;2023-01-01;7.7;;;;;;;;;2823.817;51409.0;5640.0;16206.0;2823.817139;714_202304_15_1659_56_0002500;;;1;17.068505555555554;;;
2538;1681578246.72;2017-04-06;39.79234265;-86.238629483;1.0;2023-01-01;7.7;;;;;;;;;2882.383;51384.0;5707.0;16197.0;2882.383057;714_202304_15_1659_56_0002501;;;1;17.068533333333335;;;
2539;1681578246.82;2017-04-06;39.79234265;-86.238629483;1.0;2023-01-01;7.7;;;;;;;;;2882.383;51384.0;5707.0;16235.0;2882.383057;714_202304_15_1659_56_0002502;;;1;17.068561111111112;;;
2540;1681578246.92;2017-04-06;39.79234265;-86.238629483;1.0;2023-01-01;7.7;;;;;;;;;2942.038;51362.0;5778.0;16239.0;2942.038086;714_202304_15_1659_56_0002503;;;1;17.06858888888889;;;
2541;1681578247.02;2017-04-06;39.79234265;-86.238629483;1.0;2023-01-01;7.7;;;;;;;;;2942.038;51362.0;5778.0;16210.0;2942.038086;714_202304_15_1659_56_0002504;;;1;17.068616666666667;;;
2542;1681578247.12;2017-04-06;39.79234265;-86.238629483;1.0;2023-01-01;7.7;;;;;;;;;3001.82;51346.0;5821.0;16193.0;3001.820068;714_202304_15_1659_56_0002505;;;1;17.068644444444445;;;
2543;1681578247.22;2017-04-06;39.79234265;-86.238629483;1.0;2023-01-01;7.7;;;;;;;;;3001.82;51346.0;5821.0;16185.0;3001.820068;714_202304_15_1659_56_0002506;;;1;17.068672222222222;;;
2544;1681578247.32;2017-04-06;39.79234265;-86.238629483;1.0;2023-01-01;7.7;;;;;;;;;3062.017;51328.0;5881.0;16206.0;3062.01709;714_202304_15_1659_56_0002507;;;1;17.0687;;;
2545;1681578247.41;2017-04-06;39.79234265;-86.238629483;1.0;2023-01-01;7.7;;;;;;;;;3062.017;51328.0;5881.0;16227.0;3062.01709;714_202304_15_1659_56_0002508;;;1;17.068725000035556;;;
2546;1681578247.51;2017-04-07;39.792368167;-86.2386281;1.0;2023-01-01;8.4;;;;;;;;;3122.744;51306.0;5930.0;16202.0;3122.744141;714_202304_15_1659_56_0002509;;;1;17.068752777742223;;;
